date,item_id,ad_sales,impressions,ad_spend,clicks,units_sold
2025-06-01,0,332.96,1963,16.87,8,3
2025-06-01,1,0,1764,20.39,11,0
2025-06-01,2,95.99,169,0.48,0,1
2025-06-01,3,1001.93,6943,75.69,31,9
2025-06-01,4,1096.98,59046,401.39,285,5
2025-06-01,5,0,147,5.82,4,0
2025-06-01,6,236.99,408,1.31,0,2
2025-06-01,7,0,1764,17.72,12,0
2025-06-01,8,159.99,1023,2.69,2,1
2025-06-01,9,0,0,0,0,0
2025-06-01,10,0,890,8.16,4,0
2025-06-01,11,91.65,215,0.75,0,1
2025-06-01,12,0,0,0,0,0
2025-06-01,13,0,0,0,0,0
2025-06-01,14,0,825,2.4,2,0
2025-06-01,15,0,0,0,0,0
2025-06-01,16,0,0,0,0,0
2025-06-01,17,0,4,0,0,0
2025-06-01,18,0,0,0,0,0
2025-06-01,19,0,0,0,0,0
